filename,width,height,class,xmin,ymin,xmax,ymax
maksssksksss177.png,400,300,with_mask,276,76,324,118
maksssksksss177.png,400,300,with_mask,154,147,199,194
maksssksksss237.png,400,267,with_mask,50,56,64,71
maksssksksss237.png,400,267,with_mask,191,37,232,83
maksssksksss179.png,400,267,with_mask,170,26,199,57
maksssksksss179.png,400,267,with_mask,45,57,62,76
maksssksksss179.png,400,267,without_mask,47,81,64,99
maksssksksss179.png,400,267,without_mask,89,53,116,76
maksssksksss672.png,400,300,with_mask,159,110,193,148
maksssksksss672.png,400,300,with_mask,214,168,246,205
maksssksksss672.png,400,300,with_mask,29,150,55,183
maksssksksss672.png,400,300,with_mask,341,118,376,156
maksssksksss672.png,400,300,mask_weared_incorrect,240,143,277,186
maksssksksss672.png,400,300,without_mask,51,221,96,263
maksssksksss672.png,400,300,without_mask,1,50,27,78
maksssksksss672.png,400,300,without_mask,133,47,159,76
maksssksksss672.png,400,300,without_mask,354,266,397,300
maksssksksss265.png,400,267,with_mask,234,79,266,116
maksssksksss265.png,400,267,with_mask,338,66,368,99
maksssksksss265.png,400,267,with_mask,119,88,149,126
maksssksksss265.png,400,267,with_mask,146,98,166,122
maksssksksss265.png,400,267,with_mask,77,92,100,124
maksssksksss265.png,400,267,with_mask,2,108,31,141
maksssksksss447.png,400,267,with_mask,108,60,127,79
maksssksksss447.png,400,267,with_mask,201,84,217,102
maksssksksss447.png,400,267,with_mask,313,74,331,97
maksssksksss445.png,400,267,with_mask,17,104,55,137
maksssksksss445.png,400,267,with_mask,52,78,86,111
maksssksksss445.png,400,267,mask_weared_incorrect,72,56,101,93
maksssksksss445.png,400,267,with_mask,142,73,177,108
maksssksksss445.png,400,267,with_mask,180,56,210,90
maksssksksss445.png,400,267,with_mask,240,68,264,96
maksssksksss445.png,400,267,with_mask,267,62,298,97
maksssksksss445.png,400,267,with_mask,332,34,350,61
maksssksksss445.png,400,267,with_mask,377,39,396,62
maksssksksss445.png,400,267,mask_weared_incorrect,199,237,230,266
maksssksksss544.png,301,400,without_mask,145,200,240,324
