filename,width,height,class,xmin,ymin,xmax,ymax
maksssksksss100.png.jpg,400,226,with_mask,189,30,245,88
maksssksksss100.png.jpg,400,226,with_mask,387,54,400,75
maksssksksss100.png.jpg,400,226,with_mask,118,87,163,126
maksssksksss102.png.jpg,400,225,with_mask,212,57,251,106
maksssksksss105.png.jpg,400,267,with_mask,178,143,213,202
maksssksksss105.png.jpg,400,267,with_mask,280,103,312,145
maksssksksss105.png.jpg,400,267,with_mask,320,79,352,119
maksssksksss105.png.jpg,400,267,with_mask,365,53,390,84
maksssksksss105.png.jpg,400,267,with_mask,243,36,267,67
maksssksksss105.png.jpg,400,267,with_mask,115,47,146,87
maksssksksss105.png.jpg,400,267,with_mask,33,88,65,131
maksssksksss105.png.jpg,400,267,with_mask,29,202,65,265
maksssksksss105.png.jpg,400,267,with_mask,26,34,52,66
maksssksksss0.png.jpg,512,366,without_mask,79,105,109,142
maksssksksss0.png.jpg,512,366,with_mask,185,100,226,144
maksssksksss0.png.jpg,512,366,without_mask,325,90,360,141
maksssksksss109.png.jpg,400,400,with_mask,216,92,372,251
maksssksksss110.png.jpg,400,267,without_mask,6,111,43,148
maksssksksss110.png.jpg,400,267,without_mask,22,20,49,46
maksssksksss110.png.jpg,400,267,with_mask,48,12,70,37
maksssksksss110.png.jpg,400,267,with_mask,113,1,136,24
maksssksksss110.png.jpg,400,267,without_mask,78,17,106,46
maksssksksss110.png.jpg,400,267,without_mask,97,66,115,86
maksssksksss110.png.jpg,400,267,without_mask,70,111,104,145
maksssksksss110.png.jpg,400,267,without_mask,42,157,85,186
maksssksksss110.png.jpg,400,267,with_mask,59,205,111,264
maksssksksss110.png.jpg,400,267,without_mask,116,155,172,198
maksssksksss110.png.jpg,400,267,without_mask,112,85,149,118
maksssksksss110.png.jpg,400,267,without_mask,124,27,153,47
maksssksksss110.png.jpg,400,267,without_mask,163,29,189,53
maksssksksss110.png.jpg,400,267,with_mask,186,18,215,44
